bldg_id,capacity,nominal_power
resstock-amy2018-2021-release-1-108541,13.5,2.5
resstock-amy2018-2021-release-1-108624,13.5,2.5
resstock-amy2018-2021-release-1-111763,13.5,2.5
resstock-amy2018-2021-release-1-112641,13.5,2.5
resstock-amy2018-2021-release-1-122940,13.5,2.5
resstock-amy2018-2021-release-1-123582,13.5,2.5
resstock-amy2018-2021-release-1-130997,13.5,2.5
resstock-amy2018-2021-release-1-131043,13.5,2.5
resstock-amy2018-2021-release-1-141704,13.5,2.5
resstock-amy2018-2021-release-1-151710,13.5,2.5
resstock-amy2018-2021-release-1-157159,13.5,2.5
resstock-amy2018-2021-release-1-158885,13.5,2.5
resstock-amy2018-2021-release-1-159669,13.5,2.5
resstock-amy2018-2021-release-1-174488,13.5,2.5
resstock-amy2018-2021-release-1-175803,13.5,2.5
resstock-amy2018-2021-release-1-177451,13.5,2.5
resstock-amy2018-2021-release-1-195281,13.5,2.5
resstock-amy2018-2021-release-1-19656,13.5,2.5
resstock-amy2018-2021-release-1-207227,13.5,2.5
resstock-amy2018-2021-release-1-217106,13.5,2.5
resstock-amy2018-2021-release-1-231329,13.5,2.5
resstock-amy2018-2021-release-1-235184,13.5,2.5
resstock-amy2018-2021-release-1-237891,13.5,2.5
resstock-amy2018-2021-release-1-242708,13.5,2.5
resstock-amy2018-2021-release-1-243047,13.5,2.5
resstock-amy2018-2021-release-1-243868,13.5,2.5
resstock-amy2018-2021-release-1-245522,13.5,2.5
resstock-amy2018-2021-release-1-25516,13.5,2.5
resstock-amy2018-2021-release-1-25659,13.5,2.5
resstock-amy2018-2021-release-1-26963,13.5,2.5
resstock-amy2018-2021-release-1-272080,13.5,2.5
resstock-amy2018-2021-release-1-273646,13.5,2.5
resstock-amy2018-2021-release-1-279202,13.5,2.5
resstock-amy2018-2021-release-1-284868,13.5,2.5
resstock-amy2018-2021-release-1-286655,13.5,2.5
resstock-amy2018-2021-release-1-291139,13.5,2.5
resstock-amy2018-2021-release-1-296245,13.5,2.5
resstock-amy2018-2021-release-1-316419,13.5,2.5
resstock-amy2018-2021-release-1-320787,13.5,2.5
resstock-amy2018-2021-release-1-335233,13.5,2.5
resstock-amy2018-2021-release-1-340965,13.5,2.5
resstock-amy2018-2021-release-1-343490,13.5,2.5
resstock-amy2018-2021-release-1-355132,13.5,2.5
resstock-amy2018-2021-release-1-365282,13.5,2.5
resstock-amy2018-2021-release-1-366057,13.5,2.5
resstock-amy2018-2021-release-1-380746,13.5,2.5
resstock-amy2018-2021-release-1-386079,13.5,2.5
resstock-amy2018-2021-release-1-388573,13.5,2.5
resstock-amy2018-2021-release-1-417517,13.5,2.5
resstock-amy2018-2021-release-1-425690,13.5,2.5
resstock-amy2018-2021-release-1-439008,13.5,2.5
resstock-amy2018-2021-release-1-441958,13.5,2.5
resstock-amy2018-2021-release-1-442987,13.5,2.5
resstock-amy2018-2021-release-1-447017,13.5,2.5
resstock-amy2018-2021-release-1-449056,13.5,2.5
resstock-amy2018-2021-release-1-460764,13.5,2.5
resstock-amy2018-2021-release-1-467849,13.5,2.5
resstock-amy2018-2021-release-1-471744,13.5,2.5
resstock-amy2018-2021-release-1-480837,13.5,2.5
resstock-amy2018-2021-release-1-486818,13.5,2.5
resstock-amy2018-2021-release-1-50813,13.5,2.5
resstock-amy2018-2021-release-1-511121,13.5,2.5
resstock-amy2018-2021-release-1-513318,13.5,2.5
resstock-amy2018-2021-release-1-519230,13.5,2.5
resstock-amy2018-2021-release-1-523369,13.5,2.5
resstock-amy2018-2021-release-1-530679,13.5,2.5
resstock-amy2018-2021-release-1-534588,13.5,2.5
resstock-amy2018-2021-release-1-538198,13.5,2.5
resstock-amy2018-2021-release-1-55542,13.5,2.5
resstock-amy2018-2021-release-1-83099,13.5,2.5
resstock-amy2018-2021-release-1-90621,13.5,2.5
resstock-amy2018-2021-release-1-9212,13.5,2.5
resstock-amy2018-2021-release-1-98735,13.5,2.5
