bldg_id,nominal_power
resstock-amy2018-2021-release-1-100862,10.0
resstock-amy2018-2021-release-1-101010,10.0
resstock-amy2018-2021-release-1-120089,10.0
resstock-amy2018-2021-release-1-127757,10.0
resstock-amy2018-2021-release-1-130161,10.0
resstock-amy2018-2021-release-1-134795,10.0
resstock-amy2018-2021-release-1-144377,10.0
resstock-amy2018-2021-release-1-152107,10.0
resstock-amy2018-2021-release-1-168742,10.0
resstock-amy2018-2021-release-1-171887,10.0
resstock-amy2018-2021-release-1-174481,10.0
resstock-amy2018-2021-release-1-175576,10.0
resstock-amy2018-2021-release-1-179351,10.0
resstock-amy2018-2021-release-1-18098,10.0
resstock-amy2018-2021-release-1-182758,10.0
resstock-amy2018-2021-release-1-182813,10.0
resstock-amy2018-2021-release-1-191067,10.0
resstock-amy2018-2021-release-1-192120,10.0
resstock-amy2018-2021-release-1-192324,10.0
resstock-amy2018-2021-release-1-193057,10.0
resstock-amy2018-2021-release-1-195008,10.0
resstock-amy2018-2021-release-1-196943,10.0
resstock-amy2018-2021-release-1-207738,10.0
resstock-amy2018-2021-release-1-208830,10.0
resstock-amy2018-2021-release-1-211386,10.0
resstock-amy2018-2021-release-1-217777,10.0
resstock-amy2018-2021-release-1-218727,10.0
resstock-amy2018-2021-release-1-219891,10.0
resstock-amy2018-2021-release-1-223548,10.0
resstock-amy2018-2021-release-1-230338,10.0
resstock-amy2018-2021-release-1-234676,10.0
resstock-amy2018-2021-release-1-24194,10.0
resstock-amy2018-2021-release-1-250779,10.0
resstock-amy2018-2021-release-1-252982,10.0
resstock-amy2018-2021-release-1-253509,10.0
resstock-amy2018-2021-release-1-27020,10.0
resstock-amy2018-2021-release-1-278674,10.0
resstock-amy2018-2021-release-1-284775,10.0
resstock-amy2018-2021-release-1-290324,10.0
resstock-amy2018-2021-release-1-293830,10.0
resstock-amy2018-2021-release-1-29507,10.0
resstock-amy2018-2021-release-1-30223,10.0
resstock-amy2018-2021-release-1-308260,10.0
resstock-amy2018-2021-release-1-315536,10.0
resstock-amy2018-2021-release-1-317203,10.0
resstock-amy2018-2021-release-1-318269,10.0
resstock-amy2018-2021-release-1-319165,10.0
resstock-amy2018-2021-release-1-327174,10.0
resstock-amy2018-2021-release-1-328655,10.0
resstock-amy2018-2021-release-1-330868,10.0
resstock-amy2018-2021-release-1-331893,10.0
resstock-amy2018-2021-release-1-336393,10.0
resstock-amy2018-2021-release-1-34239,10.0
resstock-amy2018-2021-release-1-343509,10.0
resstock-amy2018-2021-release-1-347729,10.0
resstock-amy2018-2021-release-1-358693,10.0
resstock-amy2018-2021-release-1-360518,10.0
resstock-amy2018-2021-release-1-3615,10.0
resstock-amy2018-2021-release-1-363494,10.0
resstock-amy2018-2021-release-1-370815,10.0
resstock-amy2018-2021-release-1-371906,10.0
resstock-amy2018-2021-release-1-374138,10.0
resstock-amy2018-2021-release-1-378943,10.0
resstock-amy2018-2021-release-1-385375,10.0
resstock-amy2018-2021-release-1-400743,10.0
resstock-amy2018-2021-release-1-401146,10.0
resstock-amy2018-2021-release-1-401821,10.0
resstock-amy2018-2021-release-1-410766,10.0
resstock-amy2018-2021-release-1-417681,10.0
resstock-amy2018-2021-release-1-427553,10.0
resstock-amy2018-2021-release-1-428320,10.0
resstock-amy2018-2021-release-1-437061,10.0
resstock-amy2018-2021-release-1-437736,10.0
resstock-amy2018-2021-release-1-45446,10.0
resstock-amy2018-2021-release-1-45501,10.0
resstock-amy2018-2021-release-1-455393,10.0
resstock-amy2018-2021-release-1-458271,10.0
resstock-amy2018-2021-release-1-465443,10.0
resstock-amy2018-2021-release-1-474593,10.0
resstock-amy2018-2021-release-1-475756,10.0
resstock-amy2018-2021-release-1-479537,10.0
resstock-amy2018-2021-release-1-492646,10.0
resstock-amy2018-2021-release-1-50023,10.0
resstock-amy2018-2021-release-1-50072,10.0
resstock-amy2018-2021-release-1-511164,10.0
resstock-amy2018-2021-release-1-511802,10.0
resstock-amy2018-2021-release-1-512011,10.0
resstock-amy2018-2021-release-1-538446,10.0
resstock-amy2018-2021-release-1-542359,10.0
resstock-amy2018-2021-release-1-542954,10.0
resstock-amy2018-2021-release-1-544958,10.0
resstock-amy2018-2021-release-1-61010,10.0
resstock-amy2018-2021-release-1-6887,10.0
resstock-amy2018-2021-release-1-75148,10.0
resstock-amy2018-2021-release-1-78478,10.0
resstock-amy2018-2021-release-1-85296,10.0
resstock-amy2018-2021-release-1-85416,10.0
resstock-amy2018-2021-release-1-88708,10.0
resstock-amy2018-2021-release-1-96102,10.0
resstock-amy2018-2021-release-1-99336,10.0
